Title,New Chapter,Date,Website
Immortal Regis,Vol. 2 Ch. 8,2024-12-18,MangaDex
Infinite Dendrogram,Vol. 6 Ch. 27,2024-12-18,MangaDex
Confession,Vol. 2 Ch. 36 - I Loved It,2024-12-18,MangaDex
Confession,Vol. 2 Ch. 35.1 - Those Two Have Something Going On,2024-12-18,MangaDex
"Welcome to Japan, Ms. Elf!",Vol. 5 Ch. 27,2024-12-18,MangaDex
"You're So Sloppy, Hotta-sensei!",Vol. 4 Ch. 37,2024-12-18,MangaDex
Good Doctor,Ch. 4,2024-12-18,MangaDex
Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi,Ch. 121,2024-12-18,MangaDex
Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi,Ch. 121,2024-12-18,MangaDex
Why I Quit Being the Demon King,Ch. 39 - Ch 39 Part 2,2024-12-18,MangaDex
Why I Quit Being the Demon King,Ch. 39 - Ch 39 Part 1,2024-12-18,MangaDex
Why I Quit Being the Demon King,Ch. 38 - Ch 38 Part 2,2024-12-18,MangaDex
Why I Quit Being the Demon King,N/A,2024-12-18,MangaDex
Shinyaku Seisho,Vol. 5 Ch. 30 - Hành trình thứ ba và hơn nữa. Thư Ephesus.,2024-12-18,MangaDex
Shinyaku Seisho,Vol. 5 Ch. 29 - Thiên tài ham học,2024-12-18,MangaDex
Shinyaku Seisho,Vol. 5 Ch. 28 - Khích lệ tín hữu,2024-12-18,MangaDex
Nobunaga no Chef,Ch. 173 - A Man Named Kenshin,2024-12-18,MangaDex
Nobunaga no Chef,Ch. 172 - Tension Ripples Through the Stronghold,2024-12-18,MangaDex
Nobunaga no Chef,Ch. 171 - A Secret Gift,2024-12-18,MangaDex
Beyblade X,Vol. 5 Ch. 19,2024-12-18,MangaDex
Genjitsu Sekai Demo Shiawase ni Shite Kudasai ne?,Vol. 1 Ch. 1 - Di Pertemukan Oleh Takdir,2024-12-18,MangaDex
Mahou Shoujo Madoka★Magica - Amalthea (Doujinshi),Oneshot,2024-12-18,MangaDex
Phantom Thief Jeanne,Vol. 1 Ch. 1,2024-12-18,MangaDex
"Please Bully Me, Miss Villainess!",Vol. 1 Ch. 2 - Sen Buna Zorbalık Mı Diyorsun?,2024-12-18,MangaDex
Global Examination,Ch. 120 - Invigilator District,2024-12-18,MangaDex
The Story of the Ugly Witch and the Blind Young Man,Oneshot,2024-12-18,MangaDex
Mankitsu Shitai Jouren-san,Vol. 1 Ch. 17.5,2024-12-18,MangaDex
"Nietzsche-sensei - Konbini ni, Satori Sedai no Shinjin ga Maiorita",Vol. 11 Ch. 59 - The Hour of Reckoning,2024-12-18,MangaDex
Falling For Danger,Ch. 20 - Rozdział 20 (Koniec sezonu 1),2024-12-18,MangaDex
Falling For Danger,Ch. 19 - Rozdział 19,2024-12-18,MangaDex
To Die In June,"Ch. 10 - Lament of the Jellyfish, Part 2",2024-12-18,MangaDex
Kyou mo Veranda de,Vol. 4 Ch. 48 - That’s Not Neighbor-san...,2024-12-18,MangaDex
The Great Path of Fighting,Ch. 3,2024-12-18,MangaDex
